model,dataset,configurations,primary_positive,primary_zero,primary_negative,among_primary_positive_accuracy_positive,among_primary_positive_accuracy_zero,among_primary_positive_accuracy_negative,among_primary_positive_log_loss_positive,among_primary_positive_log_loss_zero,among_primary_positive_log_loss_negative,among_primary_positive_both_alternatives_positive
bag8,APSFailure,134,0,0,0,0,0,0,0,0,0,0
bag8,Amazon_employee_access,134,48,26,60,19,1,28,27,0,21,18
bag8,Bank_Customer_Churn,134,48,11,75,44,0,4,32,0,16,30
bag8,Bioresponse,132,9,26,97,3,0,6,5,0,4,3
bag8,Diabetes130US,134,62,1,71,21,10,31,55,0,7,19
bag8,E-CommereShippingData,134,34,3,97,21,0,13,10,0,24,4
bag8,Fitness_Club,134,39,4,91,18,3,18,20,0,19,10
bag8,GiveMeSomeCredit,134,45,21,68,31,2,12,34,0,11,25
bag8,HR_Analytics_Job_Change_of_Data_Scientists,134,74,2,58,51,5,18,56,0,18,41
bag8,Is-this-a-good-customer,134,72,3,59,62,4,6,55,0,17,51
bag8,MIC,134,103,1,30,88,0,15,73,0,30,68
bag8,Marketing_Campaign,134,60,3,71,37,1,22,35,0,25,20
bag8,NATICUSdroid,134,0,0,0,0,0,0,0,0,0,0
bag8,SDSS17,134,0,0,0,0,0,0,0,0,0,0
bag8,anneal,134,0,0,0,0,0,0,0,0,0,0
bag8,bank-marketing,134,68,0,66,21,0,47,35,0,33,12
bag8,blood-transfusion-service-center,134,29,34,71,22,0,7,10,0,19,8
bag8,brfss_diabetes,127,40,0,87,23,2,15,38,0,2,21
bag8,churn,134,78,3,53,30,1,47,57,0,21,22
bag8,coil2000_insurance_policies,134,84,7,43,3,21,60,65,0,19,1
bag8,credit-g,134,51,1,82,47,0,4,39,0,12,35
bag8,credit_card_clients_default,134,70,0,64,60,5,5,55,0,15,52
bag8,customer_satisfaction_in_airline,134,0,0,0,0,0,0,0,0,0,0
bag8,diabetes,134,38,18,78,20,3,15,34,0,4,19
bag8,diabetes_hospital,133,27,1,105,15,9,3,27,0,0,15
bag8,folktables_coverage,127,46,0,81,16,0,30,37,0,9,11
bag8,folktables_coverage_covid,127,30,0,97,0,0,30,19,0,11,0
bag8,folktables_employment,127,16,4,107,4,1,11,16,0,0,4
bag8,folktables_income,127,40,4,83,27,1,12,25,0,15,17
bag8,folktables_mobility,127,31,0,96,22,0,9,27,0,4,19
bag8,folktables_travel_time,127,50,5,72,47,0,3,46,0,4,43
bag8,folktables_travel_time_covid,127,72,5,50,69,0,3,65,0,7,62
bag8,gas_sensor_drift,134,43,29,62,34,0,9,23,0,20,15
bag8,hazelnut-spread-contaminant-detection,134,37,28,69,31,1,5,21,0,16,19
bag8,heloc,134,31,22,81,13,0,18,28,0,3,11
bag8,hiva_agnostic,134,64,22,48,0,54,10,22,0,42,0
